Titre,Date,Lien
Prestations d'enquêtes d'utilité publique dans le cadre d'une étude scientifique sur l'agglomération cayennaise (Guyane française).,07/12/2025,https://www.marchesonline.com/appels-offres/avis/prestations-d-enquetes-d-utilite-publique-dans-le-cad/ao-9531045-1
PRESTATIONS D'ENTRETIEN ET DE NETTOYAGE DES LOCAUX DU CONSEIL DEPARTEMENTAL DE LA GUADELOUPE - 8 LOTS.,07/12/2025,https://www.marchesonline.com/appels-offres/avis/prestations-d-entretien-et-de-nettoyage-des-locaux-du-c/ao-9531042-1
Entretien des ouvrages annexes d'assainissement pluvial des voiries départementales des Hauts-de-Seine.,07/12/2025,https://www.marchesonline.com/appels-offres/avis/entretien-des-ouvrages-annexes-d-assainissement-pluvial/ao-9531032-1
Accord-cadre à bons de commande multi attributaire de prestations de nettoyage des bâtiments et locaux du domaine public de la commune.,07/12/2025,https://www.marchesonline.com/appels-offres/avis/accord-cadre-a-bons-de-commande-multi-attributaire-de/ao-9530991-1
"Marché d'entretien des parties communes intérieures et extérieures, traitement et gestion des ordures ménagères de divers immeubles du patrimoine.",07/12/2025,https://www.marchesonline.com/appels-offres/avis/marche-d-entretien-des-parties-communes-interieures-e/ao-9530961-1
"Travaux de réaménagements, de rénovation et de gros entretien dans les bâtiments de la Mairie de Toulouse et de Toulouse Métropole 2026-2030 relance lot 12 nettoyage.",07/12/2025,https://www.marchesonline.com/appels-offres/avis/travaux-de-reamenagements-de-renovation-et-de-gros/ao-9530861-1
Rénovation énergétique et réhabilitation du groupe scolaire Joseph-Marie Marsily - Phase 2 : Maternelle.,07/12/2025,https://www.marchesonline.com/appels-offres/avis/renovation-energetique-et-rehabilitation-du-groupe/ao-9530826-1
ACHAT ET LIVRAISON DE FAUTEUILS DE BUREAUX RECONDITIONNES.,07/12/2025,https://www.marchesonline.com/appels-offres/avis/achat-et-livraison-de-fauteuils-de-bureaux-reconditionn/ao-9530795-1
Nettoyage des locaux - Lot n°1 Charcot.,07/12/2025,https://www.marchesonline.com/appels-offres/avis/nettoyage-des-locaux-lot-n-1-charcot/ao-9530764-1
Prestations d'entretien et de nettoyage des locaux du nouveau siège de la Communauté d'Agglomération du Bassin de Bourg-en-Bresse.,07/12/2025,https://www.marchesonline.com/appels-offres/avis/prestations-d-entretien-et-de-nettoyage-des-locaux-du-n/ao-9530710-1
Prestations de faucardage et nettoyage des bassins intérieurs du Port Autonome de Strasbourg.,07/12/2025,https://www.marchesonline.com/appels-offres/avis/prestations-de-faucardage-et-nettoyage-des-bassins-int/ao-9530374-1
Biodechets.,07/12/2025,https://www.marchesonline.com/appels-offres/avis/biodechets/ao-9529644-1
Marché mutualisé pour des prestations d'hydrocurage préventif du réseau public de collecte des eaux usées et d'hydrocurage préventif et curatif du réseau public des eaux pluviales..,07/12/2025,https://www.marchesonline.com/appels-offres/avis/marche-mutualise-pour-des-prestations-d-hydrocurage-p/ao-9529620-1
Réhabilitation du pont sur le Dorinet -RD70 PR6+215 - Commune de Hauteluce (73)..,07/12/2025,https://www.marchesonline.com/appels-offres/avis/rehabilitation-du-pont-sur-le-dorinet-rd70-pr6-215/ao-9529574-1
Prestations d'entretien et de nettoyage des locaux d'Auvergne Rhône-Alpes Orientation.,07/12/2025,https://www.marchesonline.com/appels-offres/avis/prestations-d-entretien-et-de-nettoyage-des-locaux-d-au/ao-9529563-1
Rehabilitation Du Plateau Sportif De Mangajou.,06/12/2025,https://www.marchesonline.com/appels-offres/avis/rehabilitation-du-plateau-sportif-de-mangajou/ao-9530203-1
RELANCE-PRESTATIONS LOGISTIQUES DANS LE CADRE DE LA GESTION DE CRISE HYDRIQUE : TRANSPORT DE PALETTES D'EAU-TRANSPORT ET INSTALLATION DE CUVES/CITERNES-REMPLISSAGE DE CUVES/CITERNES.,06/12/2025,https://www.marchesonline.com/appels-offres/avis/relance-prestations-logistiques-dans-le-cadre-de-la-ges/ao-9530196-1
"Entretien de vêtements professionnels, de linge de type hôtelier et du linge des Résidents de l'EHPAD « Les Charmettes ».",06/12/2025,https://www.marchesonline.com/appels-offres/avis/entretien-de-vetements-professionnels-de-linge-de-typ/ao-9530166-1
PRESTATIONS DE NETTOYAGE DES LOCAUX HAROPA PORT LE HAVRE SITUES SUR LA ZONE PORTUAIRE.,06/12/2025,https://www.marchesonline.com/appels-offres/avis/prestations-de-nettoyage-des-locaux-haropa-port-le-havr/ao-9530164-1
"Acquisition, livraison, installation, mise en service et formation d'une ligne de production computer to plate pour l'imprimerie de la direction de l'information légale et administrative (DILA).",06/12/2025,https://www.marchesonline.com/appels-offres/avis/acquisition-livraison-installation-mise-en-service-e/ao-9530156-1
